event: blockchain-expo
name,pic,designation,company,linkedin,twitter,wikipedia,facebook
Emmanuel Delerm,https://blockchain-expo.com/europe/wp-content/uploads/2019/05/emmanuel.jpg,Director of Blockchain Projects,Carrefour,https://fr.linkedin.com/in/emmanuel-delerm-86ab7b1,https://twitter.com/groupecarrefour/status/1093551756489957383,https://en.wikipedia.org/wiki/The_Very_Private_Life_of_Mister_Sim,https://www.quozpowa.com/QuozTube/episode/france-2/florence-foresti-on-a-tout-anne-sophie-de-la-coquillette-2-2-on-a-tout-essaye
Tony Sio,https://blockchain-expo.com/europe/wp-content/uploads/2019/04/Tony-Sio-1.jpg,Head of Marketplace Regulatory Technology,Nasdaq,https://www.linkedin.com/in/tony-sio,https://twitter.com/nasdaqtech/status/1000043462123819008,http://www.marketswiki.com/wiki/Tony_Sio,https://www.facebook.com/public/Tony-Sio
Brian Behlendorf,https://blockchain-expo.com/europe/wp-content/uploads/2019/01/brian_behlendorf_headshot-1.jpeg,Executive Director,Hyperledger,https://www.linkedin.com/in/brianbehlendorf,https://twitter.com/brianbehlendorf?lang=en,https://en.wikipedia.org/wiki/Brian_Behlendorf,https://www.facebook.com/brian.behlendorf
Ioana Surpateanu,https://blockchain-expo.com/europe/wp-content/uploads/2019/02/Ioana-Surpateanu.jpg,Co-Head of European Government Affairs - Innovation Strategy & Advocacy,Citi,https://uk.linkedin.com/in/ioana-surpateanu-9242711,https://twitter.com/isurpateanu?lang=en,https://twitter.com/isurpateanu?lang=en,https://www.facebook.com/public/Ioana-Surpateanu
Dr Klaus Schaaf,https://blockchain-expo.com/europe/wp-content/uploads/2019/05/Klaus-Schaaf.jpg,Community Lead EMEA | Digitization Strategy | Research Director ,MOBI | Volkswagen AG (Former) ,https://www.linkedin.com/pub/dir/Klaus/Schaaf,https://twitter.com/ksheeeep?lang=en,http://doctorklaus.by/,https://www.facebook.com/public/Klaus-Schaaf
Davide Casaleggio,https://blockchain-expo.com/europe/wp-content/uploads/2019/06/Davide-Casaleggio.jpg,President,Casaleggio Associati,https://it.linkedin.com/in/davidecasaleggio,https://twitter.com/casaleggio?lang=en,https://en.wikipedia.org/wiki/Davide_Casaleggio,https://www.facebook.com/Casaleggio.Davide/
Suyash Shrivastava,https://blockchain-expo.com/europe/wp-content/uploads/2018/10/Suyash-Shrivastava.jpeg,SAP Solutions Architect – Technology | Security | Archiving,Maersk,https://in.linkedin.com/in/suyash12,https://twitter.com/syu4u?lang=en,https://in.linkedin.com/in/suyash-srivastava-70a0b812,https://www.facebook.com/public/Suyash-Srivastava
Julian Gray,https://blockchain-expo.com/europe/wp-content/uploads/2019/03/Julian-Gray.jpg,"Technology Director, Digital Innovation Organisation",BP,https://www.linkedin.com/pub/dir/Julian/Gray,https://twitter.com/juliangray?lang=en,https://en.wikipedia.org/wiki/Julian_Gray,https://www.facebook.com/juliangraymusic
Emmanuel Aidoo,https://blockchain-expo.com/europe/wp-content/uploads/2019/05/emmanuel.png,Head of Digital Asset Markets,Credit Suisse,https://www.linkedin.com/pub/dir/Emmanuel/Aidoo,https://twitter.com/mannyaidoo?lang=en,https://www.credit-suisse.com/microsites/events/2018-global-markets-macro-conference/home/speakers/emmanuel-aidoo.html,https://www.facebook.com/public/Emmanuel-Aidoo
Josh Lawler,https://blockchain-expo.com/europe/wp-content/uploads/2019/01/josh-lawler.jpg,Partner ,Zuber Lawler & Del Duca,https://www.linkedin.com/in/josh-lawler-208bb3,https://twitter.com/jjjlawler?lang=en,https://environment.uw.edu/faculty/joshua-lawler/,https://www.facebook.com/public/Josh-Lawler
